,smiles,pref_name,id_24,id_25,id_26,id_27,scomp_id
14138,CC(C)C[C@H](NC(=O)NC(C(=O)O)c1cccc(O)c1)C(=O)O,,594906,594906,594906,594906,14138
14139,CC(C)C[C@H](NC(=O)NC(C(=O)O)c1ccc(O)cc1)C(=O)O,,594918,594918,594918,594918,14139
14140,CC(C)C[C@H](NC(=O)NC(C(=O)O)c1cc(O)cc(O)c1)C(=O)O,,594919,594919,594919,594919,14140
14141,CSCCC[C@H](NC(=O)N[C@@H](CC(C)C)C(=O)O)C(=O)O,,594924,594924,594924,594924,14141
14142,COC(=O)[C@H](CC(C)C)NC(=O)NC(C(=O)O)c1ccc(O)c(I)c1,,594934,594934,594934,594934,14142
14143,COC(=O)[C@H](CC(C)C)NC(=O)N[C@@H](CCCSC)C(=O)O,,594939,594939,594939,594939,14143
14144,CC(C)C[C@H](NC(=O)NC(C(=O)O)c1ccc(O)c(I)c1)C(=O)OC(C)C,,594968,594968,594968,594968,14144
14145,COC(=O)[C@H](CC(C)C)NC(=O)N[C@@H](CCc1c[nH]c2ccccc12)C(=O)O,,594969,594969,594969,594969,14145
14146,COC(=O)[C@H](CC(C)C)NC(=O)NC(C(=O)O)c1ccc(O)c(Br)c1,,594981,594981,594981,594981,14146
14147,COC(=O)[C@H](CC(C)C)NC(=O)NC(C(=O)O)c1cc(Br)c(O)c(Br)c1,,594988,594988,594988,594988,14147
14148,COC(=O)[C@H](CC(C)C)NC(=O)NC(C(=O)O)c1ccc(O)c(F)c1,,594996,594996,594996,594996,14148
14149,COC(=O)[C@H](CC(C)C)NC(=O)NC(C(=O)O)c1ccc(F)c(OC)c1,,594997,594997,594997,594997,14149
14150,CC(C)C[C@H](NC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(=O)O,,595012,595012,595012,595012,14150
14151,COC(=O)[C@H](CC(C)C)NC(=O)NC(C(=O)O)c1cccc(O)c1,,595024,595024,595024,595024,14151
14152,CCN(CC)c1nc(Cl)nc(NCCNc2cnc3cc(Cl)ccc3c2)n1,,595044,595044,595044,595044,14152
14153,Clc1ccc2cc(NCCNc3nc(Cl)nc(Nc4ccccc4)n3)cnc2c1,,595045,595045,595045,595045,14153
14154,OC1CCN(CC2CCN(CCCc3ccccc3)CC2)CC1,,595129,595129,595129,595129,14154
14155,OC1CCN(CC2CCN(Cc3ccccc3Cl)CC2)CC1,,595132,595132,595132,595132,14155
14156,OC1CCN(CC2CCN(CC34CC5CC(CC(C5)C3)C4)CC2)CC1,,595158,595158,595158,595158,14156
14157,CCC(=O)N[C@H](Cc1nc2ccccc2[nH]1)C(=O)O,,595230,595230,595230,595230,14157
14158,CCNC(=O)c1nc2cc(C)ccc2[nH]1,,595258,595258,595258,595258,14158
14159,Clc1n[nH]c2ccccc12,,595391,595391,595391,595391,14159
14160,Nc1ccc2cn[nH]c2c1,,595416,595416,595416,595416,14160
14161,CN1CCN(Cc2cn(Cc3ccccc3)nn2)CC1,,595586,595586,595586,595586,14161
14162,CCCC[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)c(OC)cc4[C@H]3CC[C@]12C,,595606,595606,595606,595606,14162
14163,C[n+]1ccc2cc[nH]c2c1,,595664,595664,595664,595664,14163
14164,CSCC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)C(=O)O,,596067,596067,596067,596067,14164
14165,CCC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)C(=O)O,,596091,596091,596091,596091,14165
14166,CC(C)C[C@H](NC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,,596157,596157,596157,596157,14166
14167,CC(C)(C)C(=O)N1Cc2c(NC(=O)c3cc(F)cc(F)c3)n[nH]c2C1(C)C,,596250,596250,596250,596250,14167
14168,CC(C)(C)C(=O)N1Cc2c(NC(=O)c3ccc(F)cc3)n[nH]c2C1(C)C,,596251,596251,596251,596251,14168
14169,CC(C)(C)C(=O)N1Cc2c(NC(=O)c3cccnc3)n[nH]c2C1(C)C,,596252,596252,596252,596252,14169
14170,CC(C)(C)C(=O)N1Cc2c(NC(=O)c3ccncc3)n[nH]c2C1(C)C,,596253,596253,596253,596253,14170
14171,Cc1cc2nc(NCCCO)n(CC(=O)c3ccc(O)cc3)c2cc1C,,596259,596259,596259,596259,14171
14172,CC(C)(C)C(=O)N1Cc2c(NC(=O)C3CCNCC3)n[nH]c2C1(C)C,,596308,596308,596308,596308,14172
14173,CN(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C(C)(C)C)C2(C)C,,596310,596310,596310,596310,14173
14174,NCCCCN1CC(=O)N(CCCCN)CC(=O)N(CCCCN)CC(=O)N(CCCCN)CC(=O)N(CCCCN)CC(=O)N(CCCCN)CC1=O,,596327,596327,596327,596327,14174
14175,CC1Cc2cc(O)ccc2[Se]1,,597217,597217,597217,597217,14175
14176,CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,,597249,597249,597249,597249,14176
14177,Cc1cc2nc(NCCCO)n(CC(=O)c3cc(C)c(O)c(C)c3)c2cc1C,,597281,597281,597281,597281,14177
14178,COc1ccc(NC(=O)[C@@H]2Cc3ccc(OCC(=O)NO)cc3CN2C(=O)OC(C)(C)C)cc1,,597339,597339,597339,597339,14178
14179,CSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2n1,,597341,597341,597341,597341,14179
14180,COC(=O)[C@H](C)N,,597623,597623,597623,597623,14180
14181,COc1ccc(C(=O)O[C@H]2CC[C@H]3C(C)(C)CCC[C@]23C)c(OC)c1,,597782,597782,597782,597782,14181
14182,CC(C)CCCCCCCCCCCCCCCCCCCOC(=O)c1cccc(O)c1O,GENTISIDE A,597813,597813,597813,597813,14182
14183,CC[C@H](C)CCCCCCCCCCCCCCCCCCCOC(=O)c1cccc(O)c1O,GENTISIDE B,597814,597814,597814,597814,14183
14184,CC(C)[C@@H](N)C(=O)OCc1cccc(NC(=N)N)c1,,597983,597983,597983,597983,14184
14185,CC(C)[C@H](N)C(=O)OC(=O)c1ccccc1,,597984,597984,597984,597984,14185
14186,CC[C@H](C)[C@H](N)C(=O)OC(=O)c1ccccc1,,597985,597985,597985,597985,14186
14187,COC1=CC(=O)c2c(CCNC(=O)OCc3ccccc3)n[nH]c2C1=O,,598204,598204,598204,598204,14187
14188,C[C@@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,3R14S-OCHRATOXIN A,598286,598286,598286,598286,14188
14189,C[C@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,3S14S-OCHRATOXIN A,598313,598313,598313,598313,14189
14190,C[C@@H]1Cc2c(Cl)cc(C(=O)N[C@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,3R14R-OCHRATOXIN A,598314,598314,598314,598314,14190
