,cell_name,id_24,id_25,id_26,id_27
816,R2-CCRF-CEM,781,781,781,781
817,R30dm-CCRF-CEM,526,526,526,526
818,R3230AC,162,162,162,162
819,R5,1177,1177,1177,1177
820,R6X-B15,200,200,200,200
821,RAW264.7,343,343,343,343
822,RD,527,527,527,527
823,REF,1178,1178,1178,1178
824,RERF-LC-AI,202,202,202,202
825,RMA-S,218,218,218,218
826,RPMI,1180,1180,1180,1180
827,RPMI 6410,219,219,219,219
828,RPTEC,742,742,742,742
829,RT-112,75,75,75,75
830,RT-4,220,220,220,220
831,RWLeu4,221,221,221,221
832,RXF 423,222,222,222,222
833,RXF 631,744,744,744,744
834,E39,136,136,136,136
835,SN12C,494,494,494,494
836,TK-10,787,787,787,787
837,UO-31,601,601,601,601
838,Renal carcinoma cell,729,729,729,729
839,Panel renal (Carcinoma cell lines),328,328,328,328
840,S49,225,225,225,225
841,Rhabdomyosarcoma cell,680,680,680,680
842,WISH,386,386,386,386
843,SK-VLB,248,248,248,248
844,SKW 6.4,249,249,249,249
845,SL-2,250,250,250,250
846,SACC-LM,745,745,745,745
847,SBC-3,76,76,76,76
848,SBC-5,228,228,228,228
849,SCC-2,232,232,232,232
850,SCC-25,233,233,233,233
851,SCC-38,34,34,34,34
852,SCC-7,77,77,77,77
853,SCC-15,231,231,231,231
854,SCL-1,235,235,235,235
855,SNB-7,251,251,251,251
856,SCaBER,230,230,230,230
857,SF-126,237,237,237,237
858,SF-188,238,238,238,238
859,SNB-78,335,335,335,335
860,SNU1,252,252,252,252
861,SNU-354,78,78,78,78
862,SNU-C4,254,254,254,254
863,SNU-308,253,253,253,253
864,SNU-5,255,255,255,255
865,SNU-638,758,758,758,758
866,SPC-A4,256,256,256,256
867,SQ20B,257,257,257,257
868,STSA-1 cell line,996,996,996,996
869,SNU-C2A,997,997,997,997
870,SGC-7901,748,748,748,748
871,SV-28,62,62,62,62
872,SV3T3,759,759,759,759
873,Sarcoma-180,227,227,227,227
874,SiHa,334,334,334,334
875,SISO,35,35,35,35
876,SK-5,240,240,240,240
877,SK-BR-3,439,439,439,439
878,SK-HEP1,750,750,750,750
879,SK-LU-1,241,241,241,241
880,SK-MEL,751,751,751,751
881,SW1088,558,558,558,558
882,SW1353,260,260,260,260
883,SW-1736,703,703,703,703
884,SW 1116,258,258,258,258
885,SK-MEL-25,378,378,378,378
886,SW613,261,261,261,261
887,SW626,1418,1418,1418,1418
888,SW900,1433,1433,1433,1433
889,SW 954,259,259,259,259
890,SW 962,38,38,38,38
891,S1B1-20,57,57,57,57
892,St-4,533,533,533,533
893,SKUT-1A,247,247,247,247
894,Skut1B,681,681,681,681
895,Small cell lung cancer cell line,836,836,836,836
896,Src-transformed,573,573,573,573
897,MKN-7,158,158,158,158
898,T/5,999,999,999,999
899,T222,262,262,262,262
900,AIK-T4,40,40,40,40
901,T6400,15,15,15,15
902,T78-1/T79-A3,17,17,17,17
903,T78-1,16,16,16,16
904,AIK-T8,20,20,20,20
905,T84,39,39,39,39
906,T98G,802,802,802,802
907,TA3,18,18,18,18
908,TCAF,124,124,124,124
909,TCAF-DAX,263,263,263,263
910,TCC-SUP,264,264,264,264
911,TE-2,265,265,265,265
912,TERT-RPE1,768,768,768,768
913,TF-1,338,338,338,338
914,TIG-1-20,267,267,267,267
915,TLX-5,268,268,268,268
916,T-21 (LR),1000,1000,1000,1000
917,T-21,1001,1001,1001,1001
918,TS/A,769,769,769,769
919,TSGH,269,269,269,269
920,TSGH 8302,270,270,270,270
921,NPC-TW-039,100,100,100,100
922,U1,125,125,125,125
923,U373,5591,5591,5591,5591
924,U11 MG,271,271,271,271
925,UCLA P-3,3,3,3,3
926,Tumor cell line,1002,1002,1002,1002
927,UMR106-06,19,19,19,19
928,UMSCC22B,4,4,4,4
929,UMUC3,5,5,5,5
930,WIL2-NS,385,385,385,385
931,WALKER,278,278,278,278
932,WiDr-NTR,10,10,10,10
933,V79-4,6,6,6,6
934,WI-38 VA13,383,383,383,383
935,VCR100,7,7,7,7
936,P388/VCR-20,284,284,284,284
937,HCT-116/VM46,193,193,193,193
938,W256,8,8,8,8
939,WEHI3B,127,127,127,127
940,WEHI,382,382,382,382
941,WEHI265.1,9,9,9,9
942,WI-38 5000,275,275,275,275
943,Epithelial cell line,815,815,815,815
944,fLS,1055,1055,1055,1055
945,Wild type T- cell line,1003,1003,1003,1003
946,X5563,287,287,287,287
947,X63/OMIL3 cell line,1004,1004,1004,1004
948,XC,11,11,11,11
949,XF498,411,411,411,411
950,JY,438,438,438,438
951,Melanophore,575,575,575,575
952,XRS6,61,61,61,61
953,YAPC,13,13,13,13
954,YMB-1-E,128,128,128,128
955,YOSHIDA,387,387,387,387
956,ZR-75-1,605,605,605,605
957,cancer cell lines (55),1016,1016,1016,1016
958,Eosinophil,664,664,664,664
959,NCI-H128,217,217,217,217
960,Lymphocytoid cell line,829,829,829,829
961,Prostate cell,728,728,728,728
962,Murine stromal cell line,1124,1124,1124,1124
963,Murine-murine hybridoma (mark 3),1126,1126,1126,1126
964,Non-small cell lung cancer cell line,1194,1194,1194,1194
965,PASMC,418,418,418,418
966,L1.2,351,351,351,351
967,Renal cell,699,699,699,699
968,RH7777,738,738,738,738
969,S9,226,226,226,226
970,RFL-6,5558,5558,5558,5558
971,C2C12,376,376,376,376
972,SJSA-1,1603,1603,1603,1603
973,HSC-2,1354,1354,1354,1354
974,BRISTOL8,762,762,762,762
975,ARO,367,367,367,367
976,U87,5602,5602,5602,5602
977,PPC-1,807,807,807,807
978,A704,645,645,645,645
979,WM-115,1376,1376,1376,1376
980,MMGT12,5592,5592,5592,5592
981,BCL1,320,320,320,320
982,MS-1,1484,1484,1484,1484
983,AT3B-1,463,463,463,463
984,ASPC1,365,365,365,365
985,Osteoclast,337,337,337,337
989,TT,1439,1439,1439,1439
990,IMR-90,355,355,355,355
991,SUD4,429,429,429,429
992,Lu1,396,396,396,396
993,MAT-Ly-Lu,357,357,357,357
994,KHOS/NP,374,374,374,374
995,BUD-8,368,368,368,368
996,MC9,732,732,732,732
997,FG2,316,316,316,316
998,CEM/C2,315,315,315,315
999,F2000,318,318,318,318
1000,Peritoneal macrophage cell,421,421,421,421
1001,CNE,431,431,431,431
1002,P388CPT45,551,551,551,551
1003,WRL68,364,364,364,364
1004,Hs 683,778,778,778,778
1005,FRTL-5,466,466,466,466
1006,MCF10,465,465,465,465
1007,NCI-H295R,370,370,370,370
1008,PT-45,363,363,363,363
1009,4T1,366,366,366,366
1010,BNL,354,354,354,354
1011,HFL1,336,336,336,336
1012,W4,426,426,426,426
1013,Fibroblast,442,442,442,442
1016,Y79,430,430,430,430
1017,Huh-5-2,467,467,467,467
1018,H3396,443,443,443,443
1019,Panc203,777,777,777,777
1020,Panc430,679,679,679,679
1021,Panc1005,361,361,361,361
1022,Hs 766,373,373,373,373
1023,CWR22R,377,377,377,377
1024,FEPD,731,731,731,731
1025,Platelet,5578,5578,5578,5578
1029,SHP77,349,349,349,349
1030,SVR,733,733,733,733
1031,iNKT,682,682,682,682
1032,SW1573,350,350,350,350
1033,Bcap37,446,446,446,446
1034,SMMC-7721,436,436,436,436
1035,KETR3,665,665,665,665
1036,Spermatozoa,734,734,734,734
1037,7TDI,670,670,670,670
1038,TPC1,441,441,441,441
1039,Mixed cortical cell,805,805,805,805
1040,CT26,457,457,457,457
1041,Renca,348,348,348,348
1042,Cortical neurone,1751,1751,1751,1751
1045,Neutrophil,428,428,428,428
1048,EOL1,796,796,796,796
1049,Osteoblast,360,360,360,360
1050,MV4-11,440,440,440,440
1051,BMEC,785,785,785,785
1052,MeWo,398,398,398,398
1053,Melanocyte,358,358,358,358
1056,Lymphocyte,375,375,375,375
1058,Macrophage,356,356,356,356
1060,Dendritic cell,432,432,432,432
1061,HPAC,372,372,372,372
1062,Panel NCI-62 (62 carcinoma cell lines),435,435,435,435
1063,Panel (10 carcinoma cell lines),352,352,352,352
1064,Panel (12 tumour cell lines),362,362,362,362
1065,MH3924A,359,359,359,359
1066,BP8,447,447,447,447
1067,HEY,460,460,460,460
1068,NCI-H1975,588,588,588,588
1069,COLO357,706,706,706,706
1070,Pancreatic beta cell,707,707,707,707
1071,INS1,415,415,415,415
1072,Panel NCI-51 (51 carcinoma cell lines),658,658,658,658
1073,F5.12,806,806,806,806
1074,H22,764,764,764,764
1075,SW-60,312,312,312,312
1076,WEHI-164,553,553,553,553
1077,BJAB,412,412,412,412
1078,DOV13,766,766,766,766
1079,UACC-903,326,326,326,326
1080,NCI-H630,332,332,332,332
1081,Astrocyte,735,735,735,735
1084,13762,458,458,458,458
1085,SK-MEL-1,752,752,752,752
1086,SNU-398,609,609,609,609
1087,TZM,659,659,659,659
1088,P12-Ichikawa,675,675,675,675
1089,TSGH 9201,712,712,712,712
1090,H9c2,648,648,648,648
1091,DBTRG-05MG,714,714,714,714
1092,DMS-79,566,566,566,566
1093,Adipocyte,674,674,674,674
1094,BV-2,708,708,708,708
1095,SCG,314,314,314,314
1096,NCI-H187,1673,1673,1673,1673
1097,HGC-27,1258,1258,1258,1258
1098,K562/R7,5571,5571,5571,5571
1099,CEM/VLB100,5596,5596,5596,5596
1100,MCF7-2A,143,143,143,143
1101,K562/Adr,5572,5572,5572,5572
1102,BC-3,1463,1463,1463,1463
1103,HL60/ADR,5575,5575,5575,5575
1104,UT7,59,59,59,59
1105,SK-N-AS,1331,1331,1331,1331
1106,HSC-4,1394,1394,1394,1394
1107,U-937/GTB,380,380,380,380
1108,CAL-27,1382,1382,1382,1382
1109,F3,5600,5600,5600,5600
1110,NB69,1358,1358,1358,1358
1111,"Cerebral cortex neuron
",5556,5556,5556,5556
1112,Primary neuron,5565,5565,5565,5565
1113,NCI-H661,1430,1430,1430,1430
1114,OE19,1316,1316,1316,1316
1115,OE33,1317,1317,1317,1317
1116,L-428,1536,1536,1536,1536
1117,BV-173,1572,1572,1572,1572
1118,HCC1937,1353,1353,1353,1353
1119,MDCK-II,1761,1761,1761,1761
1120,CHO-M19,812,812,812,812
1121,DG-75,1511,1511,1511,1511
1122,LS-1034,1635,1635,1635,1635
1123,Calu-3,173,173,173,173
1124,MEG-01,1591,1591,1591,1591
1125,HeLa S3,5587,5587,5587,5587
1126,SAS,1325,1325,1325,1325
1127,NCI-H716,1679,1679,1679,1679
1128,ME-180,1400,1400,1400,1400
1129,A673,165,165,165,165
1130,SW872,1556,1556,1556,1556
1131,SK-LMS-1,1688,1688,1688,1688
1132,SW982,1557,1557,1557,1557
1133,HEK293-A,5589,5589,5589,5589
1134,P388D1,5584,5584,5584,5584
1135,RL,1438,1438,1438,1438
1136,AU565,1379,1379,1379,1379
1137,SW948,1419,1419,1419,1419
1138,HT,1436,1436,1436,1436
1139,SN12K1,811,811,811,811
1140,NCI-H524,1677,1677,1677,1677
1141,Ca-Ski,1381,1381,1381,1381
1142,U-266,1563,1563,1563,1563
1143,C32,1219,1219,1219,1219
1144,Ca9-22,1221,1221,1221,1221
1145,C3A,1220,1220,1220,1220
1146,bEND,618,618,618,618
1147,Detroit 562,1238,1238,1238,1238
1148,HT-144,1581,1581,1581,1581
1149,REH,1460,1460,1460,1460
1150,NCI-H838,1409,1409,1409,1409
1151,SNU-423,1334,1334,1334,1334
1152,Shh Light II,5543,5543,5543,5543
1153,HuP-T3,1266,1266,1266,1266
1154,GOTO,1478,1478,1478,1478
1155,NB1,1456,1456,1456,1456
1156,IGR-1,1267,1267,1267,1267
1157,M059J,1399,1399,1399,1399
1158,HT-3,1262,1262,1262,1262
1159,KARPAS-299,1732,1732,1732,1732
1160,SU-DHL-1,1690,1690,1690,1690
1161,DU-4475,1621,1621,1621,1621
1162,LAMA-84,1633,1633,1633,1633
1163,DOHH-2,1577,1577,1577,1577
1164,HD-MY-Z,1627,1627,1627,1627
1165,NCI-H1355,1705,1705,1705,1705
1166,S2,1760,1760,1760,1760
1167,NCI-H1993,1429,1429,1429,1429
1168,LP-1,1482,1482,1482,1482
1169,IPC-298,1355,1355,1355,1355
1170,SK-MEL-30,1415,1415,1415,1415
1171,COLO-829,1663,1663,1663,1663
1172,TGBC11TKB,1728,1728,1728,1728
1173,BALL-1,1571,1571,1571,1571
1174,RMG-I,1321,1321,1321,1321
1175,TGW,1344,1344,1344,1344
1176,SNG-M,1333,1333,1333,1333
1177,MFE-296,1283,1283,1283,1283
1178,EGI-1,1244,1244,1244,1244
1179,SNU-449,1335,1335,1335,1335
1180,SCCH-26,1414,1414,1414,1414
1181,Capan-2,1229,1229,1229,1229
1182,CAL-12T,1422,1422,1422,1422
1183,CAL-54,1226,1226,1226,1226
1184,769-P,1208,1208,1208,1208
1185,NCI-H1573,1403,1403,1403,1403
1186,NCI-H441,1408,1408,1408,1408
1187,639-V,1206,1206,1206,1206
1188,647-V,1207,1207,1207,1207
1189,8305C,1209,1209,1209,1209
1190,8505C,1346,1346,1346,1346
1191,ABC-1,1212,1212,1212,1212
1192,BCPAP,1214,1214,1214,1214
1193,BEN,1215,1215,1215,1215
1194,BFTC-905,1347,1347,1347,1347
1195,BFTC-909,1216,1216,1216,1216
1196,BHT-101,1380,1380,1380,1380
1197,CAL-120,1222,1222,1222,1222
1198,CAL-148,1348,1348,1348,1348
1199,CAL-51,1225,1225,1225,1225
1200,CAL-62,1383,1383,1383,1383
1201,CAL-85-1,1201,1201,1201,1201
1202,CaR-1,1384,1384,1384,1384
1203,CCF-STTG1,1349,1349,1349,1349
1204,ChaGo-K-1,1231,1231,1231,1231
1205,EFM-19,1351,1351,1351,1351
1206,EFO-21,1243,1243,1243,1243
1207,EPLC-272H,1389,1389,1389,1389
1208,FTC-133,1246,1246,1246,1246
1209,GAMG,1248,1248,1248,1248
1210,GMS-10,1390,1390,1390,1390
1211,GP5d,1249,1249,1249,1249
1212,HCC1395,1391,1391,1391,1391
1213,HCC1806,1425,1425,1425,1425
1214,HCC1954,1392,1392,1392,1392
1215,HCC38,1255,1255,1255,1255
1216,HCC70,1256,1256,1256,1256
1217,SCLC-21H,1328,1328,1328,1328
1218,SK-CO-1,1330,1330,1330,1330
1219,SKG-IIIa,1332,1332,1332,1332
1220,SW13,1337,1337,1337,1337
1221,SW1417,1417,1417,1417,1417
1222,SW1463,1338,1338,1338,1338
1223,SW1783,1339,1339,1339,1339
1224,SW1990,1340,1340,1340,1340
1225,SW780,1342,1342,1342,1342
1226,SW1710,1366,1366,1366,1366
1227,SW756,1341,1341,1341,1341
1228,SW837,1204,1204,1204,1204
1229,T.T,5603,5603,5603,5603
1230,TCO-1,1343,1343,1343,1343
1231,TYK-nu,1367,1367,1367,1367
1232,UACC-812,1369,1369,1369,1369
1233,UMC-11,1371,1371,1371,1371
1234,VM-CUB-1,1372,1372,1372,1372
1235,VMRC-LCP,1373,1373,1373,1373
1236,VMRC-MELG,1374,1374,1374,1374
1237,NCI-H2122,1302,1302,1302,1302
1238,NCI-H2170,1303,1303,1303,1303
1239,NCI-H2196,1304,1304,1304,1304
1240,NCI-H2228,1407,1407,1407,1407
1241,NCI-H2342,1305,1305,1305,1305
1242,NCI-H2347,1203,1203,1203,1203
1243,NCI-H2405,1306,1306,1306,1306
1244,NCI-H2452,1361,1361,1361,1361
1245,NCI-H727,1309,1309,1309,1309
1246,NCI-H810,1310,1310,1310,1310
1247,NH-6,1362,1362,1362,1362
1248,OAW-28,1314,1314,1314,1314
1249,OAW-42,1315,1315,1315,1315
1250,RCM-1,1412,1412,1412,1412
1251,RERF-LC-MS,1320,1320,1320,1320
1252,RO82-W-1,1322,1322,1322,1322
1253,RVH-421,1413,1413,1413,1413
1254,S-117,1324,1324,1324,1324
1255,LU-135,1427,1427,1427,1427
1256,LU-99A,1276,1276,1276,1276
1257,MC-IXC,1277,1277,1277,1277
1258,MDA-MB-157,1278,1278,1278,1278
1259,MDA-MB-415,1280,1280,1280,1280
1260,MEL-HO,1357,1357,1357,1357
1261,MEL-JUSO,1281,1281,1281,1281
1262,MFE-280,1282,1282,1282,1282
1263,MOG-G-UVW,1428,1428,1428,1428
1264,MSTO-211H,1402,1402,1402,1402
1265,NCI-H1048,1288,1288,1288,1288
1266,NCI-H1563,1290,1290,1290,1290
1267,NCI-H1581,1291,1291,1291,1291
1268,NCI-H1623,1292,1292,1292,1292
1269,NCI-H1650,1359,1359,1359,1359
1270,NCI-H1651,1293,1293,1293,1293
1271,NCI-H1666,1404,1404,1404,1404
1272,NCI-H1693,1294,1294,1294,1294
1273,NCI-H1703,1295,1295,1295,1295
1274,NCI-H1734,1296,1296,1296,1296
1275,NCI-H1755,1297,1297,1297,1297
1276,NCI-H1792,1405,1405,1405,1405
1277,NCI-H1793,1298,1298,1298,1298
1278,NCI-H2009,1299,1299,1299,1299
1279,NCI-H2029,1360,1360,1360,1360
1280,NCI-H2030,1300,1300,1300,1300
1281,NCI-H2087,1301,1301,1301,1301
1282,HPAF-II,1261,1261,1261,1261
1283,HTC-C3,1264,1264,1264,1264
1284,HuP-T4,1396,1396,1396,1396
1285,KM-H2,1533,1533,1533,1533
1286,KP-4,1269,1269,1269,1269
1287,KU-19-19,1397,1397,1397,1397
1288,KYSE-140,1270,1270,1270,1270
1289,KYSE-180,1271,1271,1271,1271
1290,KYSE-270,1272,1272,1272,1272
1291,KYSE-410,1273,1273,1273,1273
1292,KYSE-450,1274,1274,1274,1274
1293,LCLC-97TM1,1398,1398,1398,1398
1294,LK-2,1356,1356,1356,1356
1295,LN-405,1275,1275,1275,1275
1296,VMRC-RCZ,1375,1375,1375,1375
1297,YKG-1,1377,1377,1377,1377
1298,ZR-75-30,1378,1378,1378,1378
1299,SK-NEP-1,1432,1432,1432,1432
1300,DoTc2-4510,1241,1241,1241,1241
1301,U-118-MG,1345,1345,1345,1345
1302,JVM-2,1530,1530,1530,1530
1303,YT,1440,1440,1440,1440
1304,1411HP,5595,5595,5595,5595
1305,L-363,1535,1535,1535,1535
1306,OPM-2,1549,1549,1549,1549
1307,CMK,1443,1443,1443,1443
1308,HeLa C3,5588,5588,5588,5588
1309,H1-HeLa,5551,5551,5551,5551
1310,BL-41,1504,1504,1504,1504
1311,SNB-,1183,1183,1183,1183
1312,CHP-126,1608,1608,1608,1608
1313,ST486,1554,1554,1554,1554
1314,SCC-9,1326,1326,1326,1326
1315,OS-RC-2,1646,1646,1646,1646
1316,HCC2218,1626,1626,1626,1626
1317,NCI-H526,1678,1678,1678,1678
1318,NCI-H209,1674,1674,1674,1674
1319,RS4-11,1601,1601,1601,1601
1320,NCI-H2126,1719,1719,1719,1719
1321,Pneumocyte,5554,5554,5554,5554
1322,NCI-H1770,1713,1713,1713,1713
1323,NCI-H1838,1714,1714,1714,1714
1324,DV-90,1242,1242,1242,1242
1325,NCI-H1648,1711,1711,1711,1711
1326,NCI-H2052,1406,1406,1406,1406
1327,NCI-H28,1307,1307,1307,1307
1328,NCI-H1395,1706,1706,1706,1706
1329,SCC-4,1364,1364,1364,1364
1330,BPH-1,1506,1506,1506,1506
1331,SCC-3,1552,1552,1552,1552
1332,NCI-H889,1684,1684,1684,1684
1333,NCI-H1963,1716,1716,1716,1716
1334,UACC-893,1370,1370,1370,1370
1335,NCI-H82,1645,1645,1645,1645
1336,COLO-678,1233,1233,1233,1233
1337,DMS-53,1239,1239,1239,1239
1338,Flp-In-293,5601,5601,5601,5601
1339,Calvarial osteoblast,5562,5562,5562,5562
1342,MC116,1543,1543,1543,1543
1343,COLO-679,1234,1234,1234,1234
1344,SNU-387,1416,1416,1416,1416
1345,SNU-475,1336,1336,1336,1336
1346,697,1441,1441,1441,1441
1347,NCI-H1417,1707,1707,1707,1707
1348,HDLM-2,1580,1580,1580,1580
1349,HRPE,5563,5563,5563,5563
1350,GLC-4/ADR,5569,5569,5569,5569
1351,LLC-GA5-CoL150,5567,5567,5567,5567
1352,NIH-3T3-G185,5597,5597,5597,5597
1353,Ileocyte,5577,5577,5577,5577
1354,CEM/VBL600,5598,5598,5598,5598
1355,CC531mdr+,5574,5574,5574,5574
1356,GLC4/Sb30 ,5570,5570,5570,5570
1357,CAMA-1,1228,1228,1228,1228
1358,U373-MAGI,5590,5590,5590,5590
1359,AN3-CA,1213,1213,1213,1213
1360,HH,1435,1435,1435,1435
1361,GDM-1,1523,1523,1523,1523
1362,SKM-1,1553,1553,1553,1553
1363,NOMO-1,1595,1595,1595,1595
1364,SNU-C1,1604,1604,1604,1604
1365,Vero 76,5585,5585,5585,5585
1366,CAL-33,1223,1223,1223,1223
1367,624 melanoma cell line,5583,5583,5583,5583
1368,ARH-77,1570,1570,1570,1570
1369,SK-MEL-24,1727,1727,1727,1727
1370,LS-513,1587,1587,1587,1587
1371,NCI-H1618,1710,1710,1710,1710
1372,NCI-H1694,1712,1712,1712,1712
1373,NCI-H1882,1715,1715,1715,1715
1374,NCI-H2081,1717,1717,1717,1717
1375,NCI-H2107,1718,1718,1718,1718
1376,NCI-H2141,1720,1720,1720,1720
1377,NCI-H2171,1721,1721,1721,1721
1378,NCI-H2227,1722,1722,1722,1722
1379,NCI-H2291,1723,1723,1723,1723
1380,NCI-H250,1675,1675,1675,1675
1381,NCI-H378,1676,1676,1676,1676
1382,NCI-H510A,1724,1724,1724,1724
1383,NCI-H64,1644,1644,1644,1644
1384,NCI-H650,1308,1308,1308,1308
1385,NCI-H719,1680,1680,1680,1680
1386,NCI-H720,1681,1681,1681,1681
1387,NCI-H747,1682,1682,1682,1682
1388,NCI-H748,1683,1683,1683,1683
1389,NEC8,1491,1491,1491,1491
1390,NH-12,1545,1545,1545,1545
1391,NKM-1,1546,1546,1546,1546
1392,NMC-G1,1594,1594,1594,1594
1393,NOS-1,1547,1547,1547,1547
1394,NY,1410,1410,1410,1410
1395,OC-314,1596,1596,1596,1596
1396,OCUB-M,1597,1597,1597,1597
1397,OMC-1,1548,1548,1548,1548
1398,ONS-76,1598,1598,1598,1598
1399,P30-OHK,1647,1647,1647,1647
1400,P31-FUJ,1648,1648,1648,1648
1401,PANC-03-27,1411,1411,1411,1411
1402,PANC-08-13,1318,1318,1318,1318
1403,PF-382,1599,1599,1599,1599
1404,PFSK-1,1363,1363,1363,1363
1405,QIMR-WIL,1686,1686,1686,1686
1406,RCC10RGB,1687,1687,1687,1687
1407,RH-1,1492,1492,1492,1492
1408,RH-18,1550,1550,1550,1550
1409,RL95-2,1600,1600,1600,1600
1410,RPMI-2650,1323,1323,1323,1323
1411,RPMI-6666,1725,1725,1725,1725
1412,Ramos-2G6-4C10,1746,1746,1746,1746
1413,SBC-1,1551,1551,1551,1551
1414,SH-4,1493,1493,1493,1493
1415,SIG-M5,1602,1602,1602,1602
1416,SIMA,1494,1494,1494,1494
1417,SJRH30,1329,1329,1329,1329
1418,SK-MG-1,1649,1649,1649,1649
1419,SK-MM-2,1650,1650,1650,1650
1420,SK-N-DZ,1365,1365,1365,1365
1421,SK-N-FI,1651,1651,1651,1651
1422,SK-PN-DW,1689,1689,1689,1689
1423,SK-UT-1,1652,1652,1652,1652
1424,SNU-C2B,1653,1653,1653,1653
1425,SW684,1555,1555,1555,1555
1426,TALL-1,1605,1605,1605,1605
1427,TC-YIK,1606,1606,1606,1606
1428,TE-1,1495,1495,1495,1495
1429,23132-87,1205,1205,1205,1205
1430,8-MG-BA,1607,1607,1607,1607
1431,A101D,1500,1500,1500,1500
1432,A3-KAW,1567,1567,1567,1567
1433,A388,1462,1462,1462,1462
1434,A4-Fuk,1568,1568,1568,1568
1435,ACN,1442,1442,1442,1442
1436,ALL-PO,1569,1569,1569,1569
1437,AM-38,1501,1501,1501,1501
1438,ATN-1,1502,1502,1502,1502
1439,BB30-HNC,1656,1656,1656,1656
1440,BB49-HNC,1657,1657,1657,1657
1441,BB65-RCC,1658,1658,1658,1658
1442,BE-13,1503,1503,1503,1503
1443,BHY,1217,1217,1217,1217
1444,BL-70,1505,1505,1505,1505
1445,BOKU,1464,1464,1464,1464
1446,Becker,1573,1573,1573,1573
1447,C-4-II,1218,1218,1218,1218
1448,C2BBe1,1575,1575,1575,1575
1449,CAL-39,1224,1224,1224,1224
1450,CAL-72,1227,1227,1227,1227
1451,TE-10,1558,1558,1558,1558
1452,TE-11,1559,1559,1559,1559
1453,TE-12,1560,1560,1560,1560
1454,TE-15,1561,1561,1561,1561
1455,TE-441-T,1691,1691,1691,1691
1456,TE-5,1496,1496,1496,1496
1457,TE-6,1497,1497,1497,1497
1458,TE-8,1498,1498,1498,1498
1459,TE-9,1499,1499,1499,1499
1460,TGBC1TKB,1692,1692,1692,1692
1461,TGBC24TKB,1729,1729,1729,1729
1462,TI-73,1562,1562,1562,1562
1463,TUR,1461,1461,1461,1461
1464,U-698-M,1654,1654,1654,1654
1465,VA-ES-BJ,1693,1693,1693,1693
1466,WSU-NHL,1655,1655,1655,1655
1467,YH-13,1564,1564,1564,1564
1468,no-10,1565,1565,1565,1565
1469,no-11,1566,1566,1566,1566
1470,CAS-1,1507,1507,1507,1507
1471,CESS,1465,1465,1465,1465
1472,CGTH-W-1,1659,1659,1659,1659
1473,CHL-1,1232,1232,1232,1232
1474,CHP-134,1609,1609,1609,1609
1475,CHP-212,1385,1385,1385,1385
1476,COLO-320-HSR,1742,1742,1742,1742
1477,COLO-668,1660,1660,1660,1660
1478,COLO-680N,1235,1235,1235,1235
1479,COLO-684,1661,1661,1661,1661
1480,COLO-741,1386,1386,1386,1386
1481,COLO-792,1350,1350,1350,1350
1482,COLO-800,1662,1662,1662,1662
1483,COLO-824,1236,1236,1236,1236
1484,COR-L105,1237,1237,1237,1237
1485,COR-L279,1664,1664,1664,1664
1486,COR-L88,1610,1610,1610,1610
1487,CP50-MEL-B,1730,1730,1730,1730
1488,CP66-MEL,1665,1665,1665,1665
1489,CP67-MEL,1666,1666,1666,1666
1490,CPC-N,1508,1508,1508,1508
1491,CRO-AP2,1611,1611,1611,1611
1492,CTB-1,1509,1509,1509,1509
1493,CTV-1,1510,1510,1510,1510
1494,CW-2,1466,1466,1466,1466
1495,Caov-4,1576,1576,1576,1576
1496,D-247MG,1612,1612,1612,1612
1497,D-263MG,1613,1613,1613,1613
1498,D-336MG,1614,1614,1614,1614
1499,D-392MG,1615,1615,1615,1615
1500,D-423MG,1616,1616,1616,1616
1501,D-502MG,1617,1617,1617,1617
1502,D-542MG,1618,1618,1618,1618
1503,D-566MG,1619,1619,1619,1619
1504,DB,1434,1434,1434,1434
1505,DEL,1444,1444,1444,1444
1506,DJM-1,1512,1512,1512,1512
1507,DK-MG,1387,1387,1387,1387
1508,DMS-153,1620,1620,1620,1620
1509,DOK,1240,1240,1240,1240
1510,DSH1,1467,1467,1467,1467
1511,EB-3,1468,1468,1468,1468
1512,EB2,1445,1445,1445,1445
1513,EC-GI-10,1667,1667,1667,1667
1514,ECC10,1513,1513,1513,1513
1515,ECC12,1514,1514,1514,1514
1516,ECC4,1469,1469,1469,1469
1517,EFE-184,1388,1388,1388,1388
1518,EFO-27,1424,1424,1424,1424
1519,EHEB,1470,1470,1470,1470
1520,EM-2,1471,1471,1471,1471
1521,ES1,1446,1446,1446,1446
1522,ES3,1447,1447,1447,1447
1523,ES4,1448,1448,1448,1448
1524,ES5,1449,1449,1449,1449
1525,ES6,1450,1450,1450,1450
1526,ES7,1451,1451,1451,1451
1527,ES8,1452,1452,1452,1452
1528,ESS-1,1245,1245,1245,1245
1529,ETK-1,1515,1515,1515,1515
1530,EW-1,1472,1472,1472,1472
1531,EW-11,1516,1516,1516,1516
1532,EW-12,1517,1517,1517,1517
1533,EW-13,1518,1518,1518,1518
1534,EW-16,1519,1519,1519,1519
1535,EW-18,1520,1520,1520,1520
1536,EW-22,1521,1521,1521,1521
1537,EW-24,1522,1522,1522,1522
1538,EW-3,1473,1473,1473,1473
1539,EW-7,1474,1474,1474,1474
1540,GAK,1453,1453,1453,1453
1541,GB-1,1475,1475,1475,1475
