,cell_name,id_24,id_25,id_26,id_27
207,TRAMP-C1A,793,793,793,793
208,Colon 26,613,613,613,613
209,C2D cell line,1011,1011,1011,1011
210,C2G cell line,863,863,863,863
211,TRAMP-C2H,597,597,597,597
212,Hs-578T,669,669,669,669
213,MCF-A,862,862,862,862
214,MDA-MB-453,582,582,582,582
215,MDA-MB-231,325,325,325,325
216,MDA-N,509,509,509,509
217,NCI/ADR-RES,434,434,434,434
218,Breast carcinoma cell,482,482,482,482
219,Panel breast (Carcinoma cell lines),595,595,595,595
220,C3H,1200,1200,1200,1200
221,Burkitts lymphoma cell,596,596,596,596
222,C3H/3T3,598,598,598,598
223,CCRF-CEM/VCR-1000,176,176,176,176
224,CCRF-CEM/ara-C,175,175,175,175
225,CCRF-HSB-2,636,636,636,636
226,CCRF-SB,637,637,637,637
227,CD-4+ (A 3.01),958,958,958,958
228,Beta-TC3,788,788,788,788
229,BxT,1010,1010,1010,1010
230,C-33-A,1574,1574,1574,1574
231,C-344 cell line,1013,1013,1013,1013
232,C653,1187,1187,1187,1187
233,C6-BU-1,172,172,172,172
234,T-24,704,704,704,704
235,CEM-DNR,180,180,180,180
236,CaNT,1017,1017,1017,1017
237,CaOs-1 cell line,1018,1018,1018,1018
238,CHO-K1-BH4,129,129,129,129
239,CAKI-2,448,448,448,448
240,CHO-MG,640,640,640,640
241,CHO-TAX 5-6,187,187,187,187
242,CHO-VV 3-2,188,188,188,188
243,CHO-hD3,298,298,298,298
244,CHO-FU,186,186,186,186
245,CHRC5 cell line,1023,1023,1023,1023
246,CI80-13S cell line,1024,1024,1024,1024
247,CML/BC,1140,1140,1140,1140
248,E6SM,528,528,528,528
249,Panel CNS (Carcinoma cell lines),611,611,611,611
250,CNS carcinoma cell,695,695,695,695
251,SF-295,747,747,747,747
252,SF-539,730,730,730,730
253,SNB-75,606,606,606,606
254,SF-268,471,471,471,471
255,SNB-19,532,532,532,532
256,U-251,770,770,770,770
257,CNS cell,709,709,709,709
258,Co-3,1025,1025,1025,1025
259,COLO 205,641,641,641,641
260,COLO 320,562,562,562,562
261,COLO,1075,1075,1075,1075
262,COLO 320DM,642,642,642,642
263,COR-L23,450,450,450,450
264,CEM-TK(+),43,43,43,43
265,CEM-TK(-),50,50,50,50
266,CEM-V,181,181,181,181
267,CEM-VCR 1/D/5,182,182,182,182
268,CEM-VCR 1/F3,183,183,183,183
269,CEM-VCR,297,297,297,297
270,CEM-c113,178,178,178,178
271,Calu-6,633,633,633,633
272,CPAE,130,130,130,130
273,RPMI 8402,329,329,329,329
274,CPT30 cell line,1030,1030,1030,1030
275,CRL-7065 cell line,959,959,959,959
276,MIA PaCa-2 ,694,694,694,694
277,CEM-VLB,639,639,639,639
278,CEM-VM1,484,484,484,484
279,CEM-D9,179,179,179,179
280,CTLL,644,644,644,644
281,CFPAC-1,406,406,406,406
282,CFU-C,1105,1105,1105,1105
283,CFU-GM,1128,1128,1128,1128
284,CH1,610,610,610,610
285,CX-1,189,189,189,189
286,SUP-T1,301,301,301,301
287,CXF1103,1031,1031,1031,1031
288,CXF158,1032,1032,1032,1032
289,CXF280,1033,1033,1033,1033
290,CEM-4,296,296,296,296
291,Sympathetic neuron,5566,5566,5566,5566
